Customer ID,Income (USD),Loan Amount Request (USD),Current Loan Expenses (USD),Credit Score,No. of Defaults,Property Age,Co-Applicant,Property Price,Type of Employment_missing_val,Type of Employment_Laborers,Type of Employment_Sales staff,Type of Employment_Core staff,Type of Employment_Managers,Type of Employment_Drivers,Type of Employment_Accountants,Expense Type 1_N,Profession_Working,Profession_Commercial associate,Profession_Pensioner,Dependents_2.0,Dependents_3.0,Dependents_1.0,Dependents_4.0,Dependents_0,Location_Semi-Urban,Location_Rural
C-11412,2222.435,277071.8,866.79,735.17,1,2223.25,1.0,311380.31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
C-24611,3446.31,150402.76,610.89,713.4,1,3446.31,1.0,252069.49,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
C-39771,4383.37,85374.28,383.85,660.63,0,4383.37,1.0,94111.04,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
C-16674,2079.2,126538.75,406.1,854.97,0,2079.2,1.0,142427.69,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
C-31675,2048.07,173590.86,470.0,637.05,0,2048.07,0.0,246898.57,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-17465,1296.81,14834.95,140.25,739.82,0,1296.81,1.0,22829.35,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
C-42983,3370.31,107191.77,896.93,742.99,1,3370.31,0.0,153306.01,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
C-13072,2781.72,68689.43,409.79,831.21,0,2781.72,0.0,125006.84,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
C-33979,3888.53,185112.32,661.07,666.9,1,3888.53,1.0,293567.23,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
C-35368,1239.81,28781.77,197.86,745.39,0,1239.81,1.0,34640.81,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-18283,2724.86,100290.93,300.31,828.45,0,2724.86,1.0,158928.68,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-47459,2632.92,198935.08,597.91,795.14,0,2632.92,1.0,291324.27,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
C-29813,3652.54,60290.94,394.76,798.1,0,3652.54,1.0,90879.54,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
C-2333,2222.435,37399.68,184.23,739.82,1,2223.25,1.0,58214.31,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
C-42057,3061.51,90278.85,501.55,736.79,1,3061.51,0.0,136382.23,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C-49856,3347.11,85334.51,342.62,724.67,0,3347.11,1.0,118219.38,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
C-1677,2173.4,202481.09,761.28,797.11,0,2173.4,1.0,364368.08,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-42342,2005.08,78453.21,287.82,878.03,0,2005.08,0.0,118580.24,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-41548,2796.96,229419.45,656.32,804.27,0,2796.96,1.0,410525.63,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
C-6096,2222.435,102893.64,336.77,859.36,0,2223.25,1.0,154210.78,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
C-42831,1217.05,115777.2,351.92,808.69,0,1217.05,1.0,155309.85,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-11436,2222.435,38998.27,321.53,849.46,0,2223.25,1.0,70849.79,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
C-34691,1004.84,15342.79,122.88,662.93,0,1004.84,1.0,20809.97,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
C-17606,1553.68,117426.61,541.94,739.82,0,1553.68,1.0,143063.32,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C-5858,1347.25,24905.98,206.59,767.74,0,1347.25,1.0,39630.65,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
C-34553,2878.45,75169.12,806.31,835.4,0,2878.45,1.0,101391.96,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-26581,1818.15,21078.95,142.07,762.36,0,1818.15,1.0,25432.99,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
C-13555,1608.37,94180.15,508.97,831.0,0,1608.37,1.0,160814.15,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
C-35097,1595.5,59232.43,492.8,814.25,1,1595.5,1.0,80174.41,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-15352,3525.29,140101.85,678.81,784.04,0,3525.29,1.0,259081.35,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-34808,2758.16,224339.59,608.74,714.79,0,2758.16,1.0,417090.72,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
C-26876,1110.77,114527.31,366.28,739.82,0,1110.77,1.0,163662.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
C-18732,2796.27,181396.84,766.17,840.74,0,2796.27,1.0,207335.79,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
C-41589,3861.34,292096.11,849.92,830.2,0,3861.34,1.0,377093.68,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
C-2647,3502.04,77685.92,261.93,798.55,0,3502.04,1.0,128601.6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-21534,2222.435,55852.14,437.42,839.77,0,2223.25,1.0,94008.65,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
C-17387,2222.435,48754.89,183.38,815.77,0,2223.25,0.0,79397.38,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-19506,1015.95,51735.91,227.02,864.24,0,1015.95,1.0,75058.11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
C-34902,2188.57,66511.74,255.27,633.56,0,2188.57,0.0,115981.66,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-9449,3169.34,349610.15,821.74,822.64,0,3169.34,1.0,480563.49,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-18384,1274.06,66838.21,325.44,635.94,0,1274.06,1.0,119222.38,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-16852,2222.435,73008.35,549.84,699.7,0,2223.25,1.0,98492.37,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-3919,1060.36,48847.2,189.87,844.33,0,1060.36,1.0,84337.24,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-36109,3118.43,125517.2,487.28,794.67,0,3118.43,1.0,218332.48,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-36137,3693.19,197592.57,784.6,848.85,0,3693.19,1.0,356726.06,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-967,2405.64,51737.96,221.46,747.3,0,2405.64,1.0,81677.73,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
C-39947,2824.85,138027.68,413.79,834.78,0,2824.85,1.0,194349.87,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
C-8835,2222.435,181075.74,594.71,629.33,0,2223.25,1.0,292080.39,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
C-34901,2088.92,101522.83,663.03,721.05,1,2088.92,1.0,136396.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
C-47197,2453.15,35697.39,270.35,713.43,0,2453.15,0.0,46058.65,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
C-25522,2459.57,71675.03,276.87,760.59,0,2459.57,1.0,130400.42,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
C-44897,3343.13,104612.27,720.54,631.63,0,3343.13,1.0,197904.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C-20422,3836.46,246761.0,878.87,852.52,0,3836.46,1.0,437570.08,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
C-40552,3012.71,87648.05,319.07,795.2,1,3012.71,1.0,154242.36,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
C-10557,3203.45,134923.6,379.58,739.82,0,3203.45,1.0,186536.84,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
C-14617,2540.42,89666.92,220.87,748.98,0,2540.42,1.0,107850.42,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-21896,2222.435,31384.53,270.57,678.71,0,2223.25,1.0,55167.8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-33920,1983.97,120424.19,417.08,628.01,1,1983.97,0.0,157100.66,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-33172,1084.75,16689.26,127.88,825.07,0,1084.75,1.0,24263.32,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-9886,3144.39,35806.29,220.66,739.82,0,3144.39,1.0,44223.58,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-17548,3014.45,113816.35,516.07,658.75,0,3014.45,0.0,136632.94,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-31050,2220.4,37702.81,386.03,628.8,0,2220.4,1.0,43030.25,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
C-40316,2460.14,68804.14,324.02,653.97,0,2460.14,1.0,104892.71,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-37921,3538.65,144207.04,543.19,790.91,0,3538.65,1.0,267042.75,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
C-5443,1972.51,179100.97,576.94,665.51,1,1972.51,1.0,334282.69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
C-44378,2379.41,34597.58,301.63,843.81,0,2379.41,1.0,62293.91,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-39851,1922.34,125340.05,425.6,748.47,1,1922.34,1.0,233170.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-36670,1173.99,71317.65,350.43,859.65,0,1173.99,1.0,110694.57,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
C-14113,2557.11,149462.41,395.91,670.62,0,2557.11,1.0,164661.57,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
C-30225,2747.99,117673.86,441.64,766.33,0,2747.99,1.0,198939.03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C-6315,2222.435,55852.91,218.19,836.93,1,2223.25,1.0,69626.64,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
C-32668,1821.2,47999.01,317.33,679.09,0,1821.2,1.0,84031.65,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
C-41851,2037.23,97166.8,311.23,644.23,0,2037.23,1.0,165195.84,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-12513,1700.37,44111.57,341.79,606.63,0,1700.37,1.0,72104.51,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
C-41694,1904.13,38273.4,407.83,761.82,0,1904.13,0.0,44534.95,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
C-8928,2222.435,84828.51,305.29,821.88,0,2223.25,0.0,110540.91,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
C-49404,1241.1,46932.88,383.97,744.6,1,1241.1,0.0,51696.94,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
C-719,2222.435,50395.28,218.07,629.82,1,2223.25,1.0,62698.37,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C-13766,1022.26,76110.53,434.75,649.88,0,1022.26,1.0,137925.43,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
C-45255,1548.3,115364.22,495.9,651.77,0,1548.3,0.0,205919.63,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-35702,3806.54,32233.57,155.09,615.7,0,3806.54,1.0,41477.81,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C-6512,3257.51,126539.01,553.25,739.82,1,3257.51,1.0,232723.41,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-15929,3077.9,108409.22,346.45,724.42,1,3077.9,1.0,145333.11,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-24989,2457.46,53119.42,151.46,700.68,0,2457.46,1.0,99078.61,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-760,1518.09,81087.91,436.32,676.8,0,1518.09,1.0,112551.68,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-32003,1421.86,66474.81,468.9,696.3,0,1421.86,1.0,79468.04,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-17092,1670.75,113455.1,383.77,823.44,0,2223.25,1.0,208484.69,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
C-10309,3023.04,173364.54,653.4,694.13,0,3023.04,1.0,328135.73,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C-44966,2845.74,55846.69,296.88,856.59,0,2845.74,1.0,80420.33,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
C-12722,1519.12,52500.3,220.03,629.33,0,1519.12,1.0,74101.52,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-44460,2788.13,54664.1,272.67,682.42,0,2788.13,1.0,100924.28,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-15590,838.66,126331.46,403.85,816.63,0,838.66,1.0,157084.71,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-8150,2222.435,40962.19,198.39,662.8,1,2223.25,1.0,55883.2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-19329,2222.435,92112.45,466.99,744.11,1,2223.25,1.0,106856.95,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-37914,2670.35,97829.21,299.46,753.86,0,2670.35,1.0,183894.44,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-9021,2328.69,52488.3,359.32,770.35,0,2328.69,1.0,75284.06,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
C-13189,929.07,10841.44,110.73,739.82,0,929.07,0.0,12435.43,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-17658,3521.16,70115.6,680.83,711.01,0,3521.16,1.0,124468.61,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
C-31564,1290.17,87170.97,535.66,757.42,1,1290.17,1.0,141989.39,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-31431,2456.06,90912.18,254.35,854.34,0,2456.06,1.0,168873.25,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-42287,1997.68,111172.29,324.63,774.05,1,1997.68,0.0,159386.97,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-2699,2504.11,171495.39,469.81,801.89,0,2504.11,1.0,219546.21,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C-33091,2299.97,63669.67,342.74,657.62,0,2299.97,1.0,71778.8,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-47232,2012.24,73173.49,390.95,655.04,0,2012.24,1.0,95285.15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-28844,1080.61,56496.84,329.65,831.29,1,1080.61,1.0,83725.04,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-48134,2743.47,41568.21,191.56,818.74,0,2743.47,0.0,78860.22,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
C-6147,2222.435,59369.36,262.04,700.39,0,2223.25,1.0,71775.13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
C-30191,1597.75,81894.97,384.47,654.33,0,1597.75,1.0,123301.66,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
C-1911,2222.435,62568.27,320.49,739.82,0,2223.25,1.0,87032.81,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
C-6786,2643.05,47861.33,318.24,666.41,0,2643.05,1.0,55698.83,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C-31806,2614.83,49002.51,503.29,834.56,0,2614.83,1.0,65478.26,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
C-36251,1547.31,99163.99,290.36,808.33,0,1547.31,1.0,166049.62,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
C-41330,1877.91,52283.12,280.82,642.5,0,1877.91,0.0,76409.54,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
C-5938,2539.89,121527.97,355.5,801.69,0,2539.89,1.0,180437.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C-7927,824.43,26072.94,136.02,823.21,0,824.43,1.0,32622.79,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-2763,1372.38,31355.87,227.01,627.19,0,1372.38,1.0,47454.03,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
C-21034,1555.14,22636.0,180.82,622.75,0,1555.14,1.0,28314.94,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-23631,1022.61,72692.72,482.48,705.93,0,1022.61,1.0,98419.53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
C-13253,1766.41,64205.57,254.53,635.17,1,1766.41,0.0,101183.29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
C-1431,1971.93,14196.11,179.26,764.01,0,1971.93,1.0,19089.36,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
C-27783,1866.78,20891.16,139.12,661.73,0,1866.78,1.0,32226.95,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
C-33892,1731.37,40721.48,285.48,762.03,1,1731.37,1.0,74068.68,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
C-40294,1294.6,24351.68,124.78,775.06,0,1294.6,1.0,37297.34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
C-39764,1390.91,24530.39,134.32,782.9,0,1390.91,1.0,45564.16,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
C-16254,1598.7,22310.25,114.06,824.34,1,1598.7,1.0,27260.99,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
C-31328,3812.49,68801.87,673.51,844.1,0,3812.49,1.0,120000.15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
C-8214,2222.435,126253.11,639.17,756.21,0,2223.25,1.0,170344.57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C-15001,3129.33,96694.13,316.81,739.82,0,3129.33,1.0,181871.11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
C-48116,1573.38,24612.92,136.4,676.72,0,1573.38,1.0,38535.21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
C-23050,2222.435,67482.94,488.22,739.82,0,2223.25,1.0,100438.9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-32799,3382.41,111056.1,566.25,876.8,1,3382.41,1.0,132326.77,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
C-41237,1396.39,44526.76,264.57,660.23,0,1396.39,1.0,51782.94,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-42317,2302.96,48430.22,240.62,680.06,0,2302.96,0.0,64366.87,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
C-4255,2222.435,94417.12,462.04,651.73,0,2223.25,1.0,176744.51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
C-21078,3034.73,225177.56,644.16,739.82,1,3034.73,1.0,395347.01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
C-16752,2222.435,69096.91,379.13,759.87,0,2223.25,1.0,121817.99,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-48339,2950.35,274089.12,780.02,812.69,1,2950.35,1.0,398646.97,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
C-25340,2375.51,41425.45,182.01,623.71,0,2375.51,1.0,64124.22,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-46568,2933.45,145618.45,425.48,773.53,0,2933.45,0.0,174586.67,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-23307,1321.16,89173.72,535.96,703.93,0,1321.16,1.0,159312.74,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
C-26934,1296.07,35141.99,155.95,705.29,1,1296.07,1.0,54903.44,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-3509,1228.34,25196.33,276.1,665.84,0,1228.34,1.0,33140.52,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C-235,1747.83,39246.1,450.0,765.5,0,1747.83,1.0,71181.91,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
C-5468,2222.435,251092.45,660.31,739.82,1,2223.25,1.0,369860.37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
C-41197,795.42,47333.53,194.44,815.29,1,795.42,1.0,83178.94,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-47264,2303.6,68415.15,332.78,780.43,1,2303.6,0.0,109232.93,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-6332,2222.435,28643.22,347.0,720.07,0,2223.25,1.0,37395.06,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
C-18174,1388.99,67783.35,529.92,701.27,0,1388.99,1.0,80305.66,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-46185,1876.56,97259.95,326.26,688.11,1,1876.56,0.0,170406.47,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
C-34241,1638.84,115366.4,369.84,777.62,0,1638.84,1.0,164102.55,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C-33199,2091.61,150736.89,703.44,779.3,0,2091.61,1.0,191259.87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
C-6598,2617.91,33589.45,326.7,739.82,1,2617.91,1.0,52795.98,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
C-26122,4422.45,85166.71,493.48,722.53,1,4422.45,1.0,112053.73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
C-30295,1002.29,6846.61,78.35,714.54,0,1002.29,1.0,10684.9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
C-31710,2190.64,61824.71,346.76,697.73,0,2190.64,1.0,74280.12,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
C-36932,1776.46,58452.71,293.48,766.16,0,1776.46,1.0,65134.86,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-2398,2786.94,83917.07,602.86,674.82,0,2786.94,1.0,92657.24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
C-41925,4105.86,87788.57,428.23,747.67,0,4105.86,1.0,142435.92,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C-46213,2464.76,102975.92,362.65,740.04,0,2464.76,1.0,170091.69,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-2108,1287.14,40536.21,209.18,803.69,0,1287.14,1.0,59763.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
C-31436,3051.09,134982.84,567.83,869.8,0,3051.09,1.0,244051.28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C-48146,981.76,41988.38,217.45,788.48,1,981.76,1.0,54947.64,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
C-19843,2222.435,197369.1,508.29,782.04,0,2223.25,1.0,250005.04,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
C-34951,2245.94,108137.51,702.46,778.62,0,2245.94,1.0,138875.17,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
C-37621,2295.95,153148.18,830.69,739.02,1,2295.95,1.0,247511.63,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
C-13752,3069.63,166940.06,454.74,819.91,0,3069.63,1.0,312246.19,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-16027,1122.74,20512.91,112.55,661.93,0,1122.74,1.0,35536.85,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C-28105,4167.85,60439.95,308.68,836.73,0,4167.85,1.0,74792.2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
C-29022,3101.46,142237.35,404.5,733.71,0,3101.46,1.0,170365.89,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
C-22646,1966.51,17933.96,196.05,808.18,0,1966.51,1.0,24694.62,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
